"institution_name","state","control","debt_mdn","earn_mdn_10y","average_cost"
"Lewis-Clark State College","ID",1,"10989",46001,18646
"North Idaho College","ID",1,"5500",40081,16699
"Northwest Nazarene University","ID",2,"16826",51719,50275
"Brigham Young University-Idaho","ID",2,"8750",53406,13357
"College of Southern Idaho","ID",1,"5500",40916,12115
"American Academy of Art College","IL",3,"27000",34324,45145
"School of the Art Institute of Chicago","IL",2,"19000",40151,74138
"Augustana College","IL",2,"26000",62971,60798
"Aurora University","IL",2,"15500",58709,39232
"Southwestern Illinois College","IL",1,"4000",36884,12596
"Black Hawk College","IL",1,"5302",37253,11809
"Blackburn College","IL",2,"14770",46802,36962
"Bradley University","IL",2,"23250",66852,52730
"Carl Sandburg College","IL",1,"3500",35274,10795
"Chicago State University","IL",1,"21500",42778,30454
"University of Chicago","IL",2,"13368",91885,86856
"City Colleges of Chicago-Kennedy-King College","IL",1,"4994",28467,11382
"City Colleges of Chicago-Malcolm X College","IL",1,"6100",32427,10279
"City Colleges of Chicago-Olive-Harvey College","IL",1,"5250",31114,12633
"City Colleges of Chicago-Harry S Truman College","IL",1,"5524",36484,10722
"City Colleges of Chicago-Richard J Daley College","IL",1,"3500",37962,9543
"City Colleges of Chicago-Harold Washington College","IL",1,"4537",36531,9996
"City Colleges of Chicago-Wilbur Wright College","IL",1,"4370",41625,9395
"Columbia College Chicago","IL",2,"16500",42195,49799
"Concordia University-Chicago","IL",2,"14000",54089,44252
"Danville Area Community College","IL",1,"3975",34867,10398
"DePaul University","IL",2,"19383",68751,59467
"College of DuPage","IL",1,"5500",46909,13314
"East-West University","IL",2,"7334",29963,30062
"Eastern Illinois University","IL",1,"15722",51989,26164
"Elgin Community College","IL",1,"4790",45516,9837
"Elmhurst University","IL",2,"15000",61462,51829
"Eureka College","IL",2,"15000",51641,38518
"Fox College","IL",3,"13625",41539,21635
"Governors State University","IL",1,"14000",58169,23076
"Graham Hospital School of Nursing","IL",2,"5250",63586,27408
"Greenville University","IL",2,"15000",46827,43713
"Hebrew Theological College","IL",2,"9924",33291,21742
"Highland Community College","IL",1,"5500",37928,12397
"University of Illinois Chicago","IL",1,"13657",68740,26998
"Benedictine University","IL",2,"17500",63446,46548
"University of Illinois Urbana-Champaign","IL",1,"16500",81054,32134
"Illinois Wesleyan University","IL",2,"23221",70871,68399
"Illinois Central College","IL",1,"5500",37366,17251
"Illinois College","IL",2,"14746",52575,47337
"Illinois Eastern Community Colleges","IL",1,"5500",37533,17518
"Illinois Institute of Technology","IL",2,"20687",82592,67720
"Illinois State University","IL",1,"15750",62117,32458
"Illinois Valley Community College","IL",1,"6500",40810,11563
"John A Logan College","IL",1,"3500",34096,12682
"John Wood Community College","IL",1,"5500",38631,13346
"Joliet Junior College","IL",1,"5500",42889,9757
"Judson University","IL",2,"14000",56313,43951
"Kankakee Community College","IL",1,"5500",38767,12209
"Kaskaskia College","IL",1,"3500",38801,12038
"Kishwaukee College","IL",1,"6542",39657,14504
"Knox College","IL",2,"23852",54820,65796
"College of Lake County","IL",1,"5376",43424,10969
"Lake Forest College","IL",2,"21500",61825,68191
"Lake Land College","IL",1,"3970",38877,10023
"Lewis and Clark Community College","IL",1,"5500",37724,9167
"Lewis University","IL",2,"18750",66099,45843
"Lincoln Christian University","IL",2,"15000",43038,28671
"Lincoln Land Community College","IL",1,"6500",38479,11600
"Loyola University Chicago","IL",2,"20500",71530,64167
"Generations College","IL",2,"19000",34706,25660
"McHenry County College","IL",1,"5297",45143,12971
"McKendree University","IL",2,"16240",58572,47121
"Methodist College","IL",2,"27000",69800,26280
"Millikin University","IL",2,"19000",51262,41297
"Monmouth College","IL",2,"20000",51110,55529
"Moody Bible Institute","IL",2,"12000",45399,34510
"Moraine Valley Community College","IL",1,"5500",43892,11921
"Morrison Institute of Technology","IL",2,"12000",63571,30350
"Morton College","IL",1,"5500",42406,12170
"National Louis University","IL",2,"12500",45799,25350
"North Central College","IL",2,"18750",60123,54803
"North Park University","IL",2,"19875",59572,42040
"Northern Illinois University","IL",1,"16250",57808,27214
"Northwestern University","IL",2,"14000",89363,87804
"Northeastern Illinois University","IL",1,"11969",52234,27208
"Oakton College","IL",1,"3500",47852,11344
"Olivet Nazarene University","IL",2,"19313",53213,50557
"Parkland College","IL",1,"5250",38320,14011
"Prairie State College","IL",1,"8000",36696,13813
"Quincy University","IL",2,"13000",50369,45102
"Rend Lake College","IL",1,"4475",35775,14638
"Richland Community College","IL",1,"4500",38793,11407
"Rock Valley College","IL",1,"5500",39158,14351
"Rockford University","IL",2,"15000",54794,47033
"Roosevelt University","IL",2,"14667",48712,48426
"Dominican University","IL",2,"18750",60327,44414
"University of St Francis","IL",2,"16500",63926,45375
"Saint Xavier University","IL",2,"16699",58656,42237
"University of Illinois Springfield","IL",1,"14000",57103,23643
"Sauk Valley Community College","IL",1,"5500",40458,14253
"Shawnee Community College","IL",1,"PS",32999,13113
"St. Augustine College","IL",2,"4136",35723,23056
"Southeastern Illinois College","IL",1,"PS",33763,12139
"Spoon River College","IL",1,"6750",38386,11871
"Southern Illinois University-Carbondale","IL",1,"17750",53390,29268
"Southern Illinois University Edwardsville","IL",1,"15500",56346,25302
"Taylor Business Institute","IL",3,"4554",25559,23713
"South Suburban College","IL",1,"PS",33680,10713
"Trinity Christian College","IL",2,"21358",55700,47066
"Trinity International University-Illinois","IL",2,"19500",46989,47751
"Triton College","IL",1,"5500",41728,11608
"VanderCook College of Music","IL",2,"27000",47863,38850
"Waubonsee Community College","IL",1,"4500",44788,14661
"Western Illinois University","IL",1,"19762",54163,27828
"Wheaton College","IL",2,"20000",63756,56447
"William Rainey Harper College","IL",1,"6230",48071,12833
"Anderson University","IN",2,"19500",48899,49098
"Ball State University","IN",1,"16904",51833,25134
"Bethel University","IN",2,"19293",48860,42276
"Butler University","IN",2,"22238",77235,64503
"Calumet College of Saint Joseph","IN",2,"9500",46945,31758
"College of Court Reporting Inc","IN",3,"13779",43927,43083
"DePauw University","IN",2,"24733",70527,72560
"Earlham College","IN",2,"19500",50797,64237
"University of Evansville","IN",2,"19000",53770,56068
"Franklin College","IN",2,"18998",55376,50708
"Goshen College","IN",2,"13750",51943,47206
"Grace College and Theological Seminary","IN",2,"16750",45411,40539
"Hanover College","IN",2,"19500",53957,55798
"Holy Cross College","IN",2,"11904",50416,48808
"Huntington University","IN",2,"18127",46672,40088
"Ivy Tech Community College","IN",1,"5835",37186,13891
"Purdue University Fort Wayne","IN",1,"10556",45872,19714
"Indiana University-Indianapolis","IN",1,"13337",55198,22216
"University of Indianapolis","IN",2,"18714",53610,48674
"Indiana Institute of Technology","IN",2,"12564",47327,43490
"University of Southern Indiana","IN",1,"13236",47605,20749
"Indiana State University","IN",1,"14574",48387,23475
"Indiana University-Kokomo","IN",1,"10000",49917,13351
"Indiana University-South Bend","IN",1,"12000",44947,15984
"Indiana University-Bloomington","IN",1,"15519",63742,27361
"Indiana University-Northwest","IN",1,"12478",43361,13371
"Indiana University-Southeast","IN",1,"11650",47596,15313
"Indiana University-East","IN",1,"12000",47156,16756
"International Business College-Indianapolis","IN",3,"11059",38146,22651
"Manchester University","IN",2,"12250",51504,48321
"Marian University","IN",2,"20000",58759,52691
"Indiana Wesleyan University-Marion","IN",2,"14335",59986,42951
"Martin University","IN",2,"24332",22544,25074
"Mid-America College of Funeral Service","IN",2,"11625",44505,30379
"University of Notre Dame","IN",2,"19000",99980,80211
"Oakland City University","IN",2,"12174",43283,39307
"Rose-Hulman Institute of Technology","IN",2,"21751",101253,74226
"University of Saint Francis-Fort Wayne","IN",2,"18750",55362,45228
"Saint Mary-of-the-Woods College","IN",2,"13600",43845,47143
"Saint Mary's College","IN",2,"23199",59354,65706
"Saint Elizabeth School of Nursing","IN",2,"19500",65230,34606
"Taylor University","IN",2,"15500",52198,51879
"Trine University","IN",2,"18500",57165,50004
"Valparaiso University","IN",2,"22133",63191,57393
"Vincennes University","IN",1,"9227",41110,19446
"Wabash College","IN",2,"24855",69952,62750
"Briar Cliff University","IA",2,"15506",54475,49693
"Buena Vista University","IA",2,"17500",49156,52490
"Central College","IA",2,"20815",54317,35177
"Clarke University","IA",2,"19500",55396,52899
"Coe College","IA",2,"20496",57125,64682
"Cornell College","IA",2,"21500",53460,64336
"Des Moines Area Community College","IA",1,"6500",41018,15664
"Dordt University","IA",2,"17500",52559,49722
"Drake University","IA",2,"19500",71901,62407
"University of Dubuque","IA",2,"17070",51190,51060
"Ellsworth Community College","IA",1,"6158",40562,17157
"Emmaus Bible College","IA",2,"9350",42631,30198
"Eastern Iowa Community College District","IA",1,"7970",39060,14499
"Faith Baptist Bible College and Theological Seminary","IA",2,"8750",40650,30354
"Graceland University-Lamoni","IA",2,"14209",47361,46850
"Grand View University","IA",2,"15097",52824,46188
"Grinnell College","IA",2,"14151",62830,79228
"Orion Technical College","IA",3,"9500",37008,26127
"Hawkeye Community College","IA",1,"8750",42849,15065
"Indian Hills Community College","IA",1,"7125",40507,14774
"Iowa Central Community College","IA",1,"8000",42046,15405
"Iowa Lakes Community College","IA",1,"7242",43108,17834
"Iowa State University","IA",1,"18750",63386,23309
"Iowa Western Community College","IA",1,"8098",42793,18102
"University of Iowa","IA",1,"18207",64762,26883
"Kirkwood Community College","IA",1,"7591",41016,14797
"Loras College","IA",2,"19500",58289,48380
"Luther College","IA",2,"22200",59850,62845
"Maharishi International University","IA",2,"11558",27981,28730
"Marshalltown Community College","IA",1,"5500",41010,13993
"Mercy College of Health Sciences","IA",2,"12500",62234,30844
"Morningside University","IA",2,"15750",55494,50429
"Mount Mercy University","IA",2,"18500",60787,52436
"Ashford University","CA",3,"9500",35404,30866
"North Iowa Area Community College","IA",1,"6000",43462,15161
"University of Northern Iowa","IA",1,"16486",55177,21627
"Northwestern College","IA",2,"16791",49802,48447
"Northeast Iowa Community College","IA",1,"8284",41306,16720
"Northwest Iowa Community College","IA",1,"7000",50776,17914
"Saint Ambrose University","IA",2,"19500",59531,50018
"St Luke's College","IA",2,"13000",61033,27391
"Simpson College","IA",2,"20262",59274,58937
"Southeastern Community College","IA",1,"7398",36882,16582
"Southwestern Community College","IA",1,"7418",40129,16399
"Upper Iowa University","IA",2,"18000",52766,48422
"Waldorf University","IA",3,"12025",51165,38035
"Wartburg College","IA",2,"19500",56201,61832
"Western Iowa Tech Community College","IA",1,"7000",40473,14300
"William Penn University","IA",2,"12000",48936,40749
"Allen County Community College","KS",1,"5021",40059,13072
"Baker University","KS",2,"18530",63855,48117
"Barton County Community College","KS",1,"6250",40428,17048
"Benedictine College","KS",2,"18570",53175,50820
"Bethany College","KS",2,"9500",49694,52396
"Bethel College-North Newton","KS",2,"12000",49898,47672
"Butler Community College","KS",1,"6680",41206,20278
"Central Christian College of Kansas","KS",2,"15750",44468,32495
"Cloud County Community College","KS",1,"6326",39883,16432
"Coffeyville Community College","KS",1,"5500",35246,11727
"Colby Community College","KS",1,"6206",41889,12705
"Cowley County Community College","KS",1,"5250",37723,12773
"Dodge City Community College","KS",1,"5451",45427,10039
"Donnelly College","KS",2,"8747",35715,22227
"Emporia State University","KS",1,"14000",47601,20527
"Flint Hills Technical College","KS",1,"6365",47007,21137
"Fort Hays State University","KS",1,"14250",48928,19114
"Barclay College","KS",2,"24320",36355,40190
"Friends University","KS",2,"17413",52113,44401
"Fort Scott Community College","KS",1,"5500",37213,10838
"Garden City Community College","KS",1,"5200",41704,14588
"Haskell Indian Nations University","KS",1,"PS",37043,10134
"Hesston College","KS",2,"12000",47495,44939
"Highland Community College","KS",1,"5500",41291,15854
"Hutchinson Community College","KS",1,"6500",43470,12881
"Independence Community College","KS",1,"4750",34941,12041
"Johnson County Community College","KS",1,"4500",45387,18946
"Kansas City Kansas Community College","KS",1,"5750",40795,18095
"University of Kansas","KS",1,"15500",61945,25215
"Newman University","KS",2,"15240",55041,44081
"Kansas State University","KS",1,"17294",57262,25441
"Kansas Wesleyan University","KS",2,"15000",51152,45683
"Washburn Institute of Technology","KS",1,"12500",49774,17795
"Labette Community College","KS",1,"6500",37818,13629
"Manhattan Area Technical College","KS",1,"7601",51864,18055
"Manhattan Christian College","KS",2,"13000",48860,34318
"McPherson College","KS",2,"13833",52084,48404
"MidAmerica Nazarene University","KS",2,"12912",62972,53495
"Neosho County Community College","KS",1,"5500",45966,16555
"Fort Hays Tech North Central","KS",1,"6850",46928,22287
"Ottawa University-Ottawa","KS",2,"12500",55552,51340
"Pittsburg State University","KS",1,"14000",50579,22426
"Pratt Community College","KS",1,"5500",51892,15333
"University of Saint Mary","KS",2,"14817",59483,45313
"Salina Area Technical College","KS",1,"5500",42175,12938
"Seward County Community College","KS",1,"5000",41445,12662
"Southwestern College","KS",2,"12500",55646,53677
"Sterling College","KS",2,"12000",45846,44836
"Tabor College","KS",2,"14000",54058,48360
"Washburn University","KS",1,"12500",49774,20949
"Wichita State University-Campus of Applied Sciences and Technology","KS",1,"6650",38679,16928
"Wichita State University","KS",1,"14700",51532,21064
"Alice Lloyd College","KY",2,"7990",40573,30294
"Asbury University","KY",2,"17500",42368,46209
"Ashland Community and Technical College","KY",1,"8000",34504,13571
"Bellarmine University","KY",2,"20000",62069,60247
"Berea College","KY",2,"3516",43150,56068
"Southcentral Kentucky Community and Technical College","KY",1,"7600",34242,13738
"Brescia University","KY",2,"20185",45500,41865
"Campbellsville University","KY",2,"9500",41583,40924
"Bluegrass Community and Technical College","KY",1,"6755",36343,13281
"Centre College","KY",2,"25125",66240,63354
"Clear Creek Baptist Bible College","KY",2,"PS",41623,20151
"University of the Cumberlands","KY",2,"8592",45036,24654
"Eastern Kentucky University","KY",1,"14929",45795,22265
"Elizabethtown Community and Technical College","KY",1,"5975",36143,13502
"Georgetown College","KY",2,"13000",52074,56297
"Hazard Community and Technical College","KY",1,"7000",29868,12187
"Henderson Community College","KY",1,"7457",35714,13433
"Hopkinsville Community College","KY",1,"6999",36323,12810
"Jefferson Community and Technical College","KY",1,"6989",38171,13488
"American National University-Pikeville","KY",3,"10814",28188,21504
"Kentucky Mountain Bible College","KY",2,"5500",21256,16490
"Kentucky State University","KY",1,"12250",36382,21023
"Kentucky Wesleyan College","KY",2,"11000",46747,43981
"University of Kentucky","KY",1,"16750",59025,32291
"Kentucky Christian University","KY",2,"8510",42375,38893
"Lindsey Wilson College","KY",2,"11514",41129,39568
"University of Louisville","KY",1,"13750",53899,30843
"Madisonville Community College","KY",1,"5853",35733,13413
"Maysville Community and Technical College","KY",1,"8047",32194,13015
"Midway University","KY",2,"12470",44246,41400
"Morehead State University","KY",1,"14705",43197,22758
"Murray State University","KY",1,"15000",44737,21475
"Gateway Community and Technical College","KY",1,"8000",36147,13849
"Northern Kentucky University","KY",1,"15159",50220,19471
"West Kentucky Community and Technical College","KY",1,"6158",34891,13457
"University of Pikeville","KY",2,"12467",48231,33271
"Big Sandy Community and Technical College","KY",1,"6911",32954,13046
"Somerset Community College","KY",1,"8000",30787,12464
"Southeast Kentucky Community & Technical College","KY",1,"5500",29482,12431
"Spalding University","KY",2,"20500",49438,43474
"Sullivan University","KY",3,"10688",38008,31100
"Thomas More University","KY",2,"14376",59384,46342
"Transylvania University","KY",2,"20000",54705,58863
"Union Commonwealth University","KY",2,"14250",42002,44375
"Western Kentucky University","KY",1,"14702",43889,23520
"Central Louisiana Technical Community College","LA",1,"7000",29558,11966
"Bossier Parish Community College","LA",1,"9500",34502,15872
"Centenary College of Louisiana","LA",2,"15250",50330,57929
"Delgado Community College","LA",1,"9500",33305,19137
"Dillard University","LA",2,"23048",39196,36057
"Nunez Community College","LA",1,"8250",35343,17309
"Grambling State University","LA",1,"24500",41109,25100
"ITI Technical College","LA",3,"12214",68342,24236
"Louisiana State University-Alexandria","LA",1,"10500",42205,15540
"Louisiana State University and Agricultural & Mechanical College","LA",1,"12956",61251,34328
"Louisiana State University-Eunice","LA",1,"6989",36498,16541
"Louisiana State University-Shreveport","LA",1,"15000",47477,19233
"Louisiana Christian University","LA",2,"11000",51700,30564
"Louisiana Tech University","LA",1,"15000",52279,24405
"Loyola University New Orleans","LA",2,"18500",52927,61837
"McNeese State University","LA",1,"13000",46453,21168
"University of New Orleans","LA",1,"11000",47872,22605
"Nicholls State University","LA",1,"13156",45454,21519
"University of Louisiana at Monroe","LA",1,"15000",46769,23552
"Northwest Louisiana Technical Community College","LA",1,"PS",32503,17202
"Northwestern State University of Louisiana","LA",1,"15000",47021,24496
"University of Holy Cross","LA",2,"19500",49316,28380
"Franciscan Missionaries of Our Lady University","LA",2,"16669",59419,27314
"Saint Joseph Seminary College","LA",2,"PS",38366,43395
"Fletcher Technical Community College","LA",1,"7500",32189,16674
"Remington College-Lafayette Campus","LA",2,"9500",31349,35344
"SOWELA Technical Community College","LA",1,"4250",32303,16402
"Southeastern Louisiana University","LA",1,"11077",46482,22647
"Southern University and A & M College","LA",1,"15455",43371,26076
"Southern University at New Orleans","LA",1,"19500",34042,20893
"Southern University at Shreveport","LA",1,"7500",33099,18188
"University of Louisiana at Lafayette","LA",1,"14991",47089,24631
"Northshore Technical Community College","LA",1,"7772",29734,15772
"Tulane University of Louisiana","LA",2,"19250",63268,83761
"Xavier University of Louisiana","LA",2,"14000",52184,39183
"College of the Atlantic","ME",2,"17723",40264,56334
"Bates College","ME",2,"12442",69498,80440
"Bowdoin College","ME",2,"12000",82735,80390
"Maine College of Health Professions","ME",2,"12000",79840,20438
"Central Maine Community College","ME",1,"6568",42448,15160
"Colby College","ME",2,"15000",80490,81550
"Eastern Maine Community College","ME",1,"7833",41704,17184
"Kennebec Valley Community College","ME",1,"9500",36035,13978
"The Landing School","ME",2,"7500",65849,31362
"University of Maine at Augusta","ME",1,"13215",40342,18813
"University of Maine at Farmington","ME",1,"16722",44433,24103
"University of Maine at Fort Kent","ME",1,"12778",51077,18532
"University of Maine","ME",1,"16750",48653,26418
"Maine Maritime Academy","ME",1,"26812",89964,30166
"University of Maine at Presque Isle","ME",1,"8275",40956,18663
"University of New England","ME",2,"20000",55921,60706
"Northern Maine Community College","ME",1,"8225",43348,15581
"Maine College of Art & Design","ME",2,"19000",40778,57027
"Saint Joseph's College of Maine","ME",2,"19576",59045,58452
"Southern Maine Community College","ME",1,"6046",41661,16400
"University of Southern Maine","ME",1,"12887",49958,21381
"Thomas College","ME",2,"20000",44991,43757
"Unity Environmental University","ME",2,"4752",37852,20915
"Washington County Community College","ME",1,"5500",34407,13240
"Allegany College of Maryland","MD",1,"8250",38476,16082
"Anne Arundel Community College","MD",1,"6250",46219,20548
"Baltimore City Community College","MD",1,"PS",36025,15745
"University of Baltimore","MD",1,"18972",61335,27477
"Bowie State University","MD",1,"12861",54537,24302
"Capitol Technology University","MD",2,"12000",85035,40900
"Cecil College","MD",1,"8250",43952,15109
"College of Southern Maryland","MD",1,"5500",44435,13570
"Chesapeake College","MD",1,"PS",36301,10090
"Washington Adventist University","MD",2,"22750",64249,34570
"Coppin State University","MD",1,"15606",46490,20152
"Frederick Community College","MD",1,"5500",46449,8886
"Frostburg State University","MD",1,"14867",55493,26500
"Garrett College","MD",1,"6560",35823,11688
"Goucher College","MD",2,"17882",53023,68893
"Hagerstown Community College","MD",1,"6500",41615,11798
"Harford Community College","MD",1,"7241",44608,14290
"Hood College","MD",2,"18185",57089,59174
"Howard Community College","MD",1,"8250",49020,15645
"Johns Hopkins University","MD",2,"9000",87555,81300
"Loyola University Maryland","MD",2,"23882",82652,71606
"University of Maryland Global Campus","MD",1,"10500",65287,19790
"University of Maryland-Baltimore County","MD",1,"15750",69960,27935
"University of Maryland-College Park","MD",1,"17000",82860,28073
"Maryland Institute College of Art","MD",2,"16250",45212,71366
"University of Maryland Eastern Shore","MD",1,"18500",47697,27799
"Montgomery College","MD",1,"7000",50159,14410
"Morgan State University","MD",1,"19500",50698,24778
"Mount St. Mary's University","MD",2,"15000",64072,62078
"Ner Israel Rabbinical College","MD",2,"PS",66330,25650
"Notre Dame of Maryland University","MD",2,"17990",65344,60362
"Prince George's Community College","MD",1,"6000",47548,16107
"Salisbury University","MD",1,"15750",61515,26134
"St. Mary's College of Maryland","MD",1,"17000",60110,31319
"St. John's College","MD",2,"19500",51584,52683
"Towson University","MD",1,"15362",64390,26621
"Stevenson University","MD",2,"21500",62079,57322
"Washington College","MD",2,"21000",65518,70191
"McDaniel College","MD",2,"15000",60663,62974
"Wor-Wic Community College","MD",1,"3500",36748,12199
"American International College","MA",2,"21063",53124,55463
"Amherst College","MA",2,"12000",77644,83650
"Anna Maria College","MA",2,"17500",46651,61106
"Assumption University","MA",2,"24250",74895,61777
"Babson College","MA",2,"19000",123938,77248
"Boston Baptist College","MA",2,"PS",34159,26691
"Bay Path University","MA",2,"19100",55383,47064
"Bentley University","MA",2,"24007",120959,77082
"Berklee College of Music","MA",2,"15750",33647,69874
"Berkshire Community College","MA",1,"8250",38832,17544
"Boston Architectural College","MA",2,"24750",62123,47152
"Boston College","MA",2,"17962",103937,83683
"Boston University","MA",2,"21500",83238,82694
"Brandeis University","MA",2,"23250",77231,82123
"Bridgewater State University","MA",1,"18746",57466,25164
"Bristol Community College","MA",1,"5250",38663,11846
"Bunker Hill Community College","MA",1,"5500",47618,14699
"Cape Cod Community College","MA",1,"6443",43670,14356
"Clark University","MA",2,"22141",62381,64426
"Curry College","MA",2,"18320",54400,61556
"Dean College","MA",2,"12000",38109,62802
"Eastern Nazarene College","MA",2,"19500",54727,41948
"Emerson College","MA",2,"19000",62832,77153
"Emmanuel College","MA",2,"22969",68245,63864
"Endicott College","MA",2,"23250",58336,57533
"Fisher College","MA",2,"12500",49669,52723
"Fitchburg State University","MA",1,"18220",53874,24517
"Framingham State University","MA",1,"17224",52349,26539
"Benjamin Franklin Cummings Institute of Technology","MA",2,"9500",57556,27631
"Gordon College","MA",2,"23250",52119,41160
"Greenfield Community College","MA",1,"5500",37132,13752
"Hampshire College","MA",2,"25000",46938,71224
"Harvard University","MA",2,"12500",101817,82842
"Hellenic College-Holy Cross Greek Orthodox School of Theology","MA",2,"13521",51724,41282
"College of the Holy Cross","MA",2,"25879",90543,76510
"Holyoke Community College","MA",1,"4750",37277,13587
"Lasell University","MA",2,"21500",49705,63387
"Lesley University","MA",2,"15000",51173,49226
"Longy School of Music of Bard College","MA",2,"19000",46543,67675
"University of Massachusetts-Lowell","MA",1,"18250",64874,29521
"University of Massachusetts-Amherst","MA",1,"20000",71631,33389
"University of Massachusetts-Boston","MA",1,"15000",65865,29698
"Massachusetts Bay Community College","MA",1,"4620",52654,13346
"MCPHS University","MA",2,"25000",125557,58975
"Massachusetts College of Art and Design","MA",1,"19500",43582,32256
"Massachusetts Institute of Technology","MA",2,"12462",143372,79850
"Massachusetts Maritime Academy","MA",1,"20500",82392,37721
"Massasoit Community College","MA",1,"5567",46111,13887
"Merrimack College","MA",2,"23750",75584,68089
"Middlesex Community College","MA",1,"5187",50651,10759
"Montserrat College of Art","MA",2,"23707",33022,56284
"Mount Holyoke College","MA",2,"18258",58418,77545
"Mount Wachusett Community College","MA",1,"5500",41118,14330
"The New England Conservatory of Music","MA",2,"19500",34483,77870
"Nichols College","MA",2,"19500",58063,55871
"Massachusetts College of Liberal Arts","MA",1,"15750",48102,27705
"North Shore Community College","MA",1,"5500",45391,13204
"Northeastern University","MA",2,"22000",92538,81353
"Northern Essex Community College","MA",1,"5661",42862,11921
"College of Our Lady of the Elms","MA",2,"20500",51540,53145
"Quincy College","MA",1,"8300",52506,19527
"Quinsigamond Community College","MA",1,"10500",45949,13295
"Regis College","MA",2,"23750",52873,64315
"Roxbury Community College","MA",1,"PS",38773,15897
"Salem State University","MA",1,"19500",56662,27615
"Simmons University","MA",2,"21780",63494,63512
"Bard College at Simon's Rock","MA",2,"19000",46543,82465
"Smith College","MA",2,"13500",64027,82134
"Springfield College","MA",2,"23000",48036,57942
"Springfield Technical Community College","MA",1,"4996",36966,14223
"University of Massachusetts-Dartmouth","MA",1,"18133",68804,31677
"Stonehill College","MA",2,"23472",77745,68412
"Suffolk University","MA",2,"20500",67506,62822
"Tufts University","MA",2,"15043",83214,84600
"Wellesley College","MA",2,"8700",84803,83050
"Wentworth Institute of Technology","MA",2,"18500",82721,55030
"Western New England University","MA",2,"19500",73157,58933
"Westfield State University","MA",1,"15250",57346,26435
"Wheaton College (Massachusetts)","MA",2,"23000",67725,76819
"Williams College","MA",2,"11667",88665,81164
"Worcester Polytechnic Institute","MA",2,"26978",103470,75678
"Worcester State University","MA",1,"13916",60624,21586
"Adrian College","MI",2,"16000",55504,54950
"Albion College","MI",2,"19500",58799,68794
"Alma College","MI",2,"23250",54742,61380
"Alpena Community College","MI",1,"5500",36442,11320
"Andrews University","MI",2,"19716",53187,43670
"Aquinas College","MI",2,"17992",49584,49018
"Baker College","MI",2,"16753",35833,23456
"Bay de Noc Community College","MI",1,"8000",35090,15674
"Calvin University","MI",2,"19500",58375,53286
"Carnegie Institute","MI",3,"8568",38244,21863
"Central Michigan University","MI",1,"23183",55874,26470
"Mott Community College","MI",1,"5975",32538,12495
"Cleary University","MI",2,"12469",54186,39110
"Concordia University Ann Arbor","MI",2,"19500",56075,50378
"College for Creative Studies","MI",2,"19000",44860,61238
"Davenport University","MI",2,"17353",45099,35864
"Delta College","MI",1,"6000",37781,11953
"Universal Technical Institute-Canton","MI",3,"9500",62575,26607
"University of Detroit Mercy","MI",2,"19950",71030,40069
"Dorsey College","MI",3,"9500",29392,30059
"Eastern Michigan University","MI",1,"18750",51793,28168
"Ferris State University","MI",1,"15500",54735,26066
"Glen Oaks Community College","MI",1,"5543",37540,14645
"Kettering University","MI",2,"26563",94823,58610
"Gogebic Community College","MI",1,"6000",40950,13398
"Grace Christian University","MI",2,"9500",41663,24637
"Cornerstone University","MI",2,"18634",47314,40737
"Grand Rapids Community College","MI",1,"5500",38377,16255
"Grand Valley State University","MI",1,"19500",56118,26578
"Great Lakes Christian College","MI",2,"12250",31053,29664
"Henry Ford College","MI",1,"7300",34795,9983
"Hope College","MI",2,"23250",58427,52206
"Jackson College","MI",1,"8750",36898,15892
"Kalamazoo College","MI",2,"22810",65590,71173
"Kalamazoo Valley Community College","MI",1,"5054",38618,9517
"Kellogg Community College","MI",1,"10258",38329,11939
"Kirtland Community College","MI",1,"7043",35831,15802
"Lake Michigan College","MI",1,"5104",34466,17782
"Lake Superior State University","MI",1,"14764",49045,25757
"Lansing Community College","MI",1,"5613",39206,10180
"Lawrence Technological University","MI",2,"20500",69151,54266
"Macomb Community College","MI",1,"3500",41596,10719
"Madonna University","MI",2,"19000",59058,38809
"Rochester University","MI",2,"14750",48707,36215
"University of Michigan-Ann Arbor","MI",1,"17625",83648,33345
"Michigan State University","MI",1,"19500",67253,30528
"Michigan Technological University","MI",1,"20500",78198,32550
"University of Michigan-Dearborn","MI",1,"17000",59649,22435
"University of Michigan-Flint","MI",1,"18494",53230,23329
"Mid Michigan College","MI",1,"7810",37319,14816
"Monroe County Community College","MI",1,"6226",41646,9894
"Montcalm Community College","MI",1,"9500",35499,10978
"Muskegon Community College","MI",1,"5000",36549,11303
"North Central Michigan College","MI",1,"5500",36594,13378
"Northern Michigan University","MI",1,"13750",47107,26206
"Northwestern Michigan College","MI",1,"8191",38167,11821
"Northwood University","MI",2,"18750",63075,47114
"Oakland Community College","MI",1,"4592",37395,11487
"Oakland University","MI",1,"16787",58612,25016
"The University of Olivet","MI",2,"13000",47907,45849
"Kuyper College","MI",2,"16304",41066,37282
"Sacred Heart Major Seminary","MI",2,"7500",49295,39466
"Saginaw Valley State University","MI",1,"17500",51955,24043
"Schoolcraft Community College District","MI",1,"5531",42722,11921
"Siena Heights University","MI",2,"15625",57529,42802
"St Clair County Community College","MI",1,"7500",40177,12153
"Southwestern Michigan College","MI",1,"5500",37303,14999
"Spring Arbor University","MI",2,"24724",51732,43178
